id,Name,Country,Score
287,National Autonomous University of Mexico,Mexico,76.9
288,University of Valencia,Spain,76.9
289,University College Dublin,Ireland,76.9
290,University of Antwerp,Belgium,76.9
291,University of Liège,Belgium,76.9
292,University of the Witwatersrand,South Africa,76.9
293,University at Buffalo,USA,76.8
294,Laval University,Canada,76.8
295,Medical University of Vienna,Austria,76.8
296,Beihang University,China,76.8
297,University of South Florida,USA,76.8
298,Wayne State University,USA,76.8
299,University of Delaware,USA,76.7
300,University of Pavia,Italy,76.7
301,University of Kentucky,USA,76.7
302,Louisiana State University,USA,76.7
303,Dalian University of Technology,China,76.7
304,King Abdullah University of Science and Technology,Saudi Arabia,76.7
305,University of New Mexico,USA,76.6
306,University of Nebraska–Lincoln,USA,76.6
307,Washington State University,USA,76.6
308,China Europe International Business School,China,76.6
309,George Washington University,USA,76.6
310,University of Lille,France,76.6
311,University of Rome Tor Vergata,Italy,76.5
312,Ruhr University Bochum,Germany,76.5
313,University of Duisburg-Essen,Germany,76.5
314,Southern Methodist University,USA,76.5
315,Queen's University,Canada,76.5
316,Hanyang University,South Korea,76.5
317,University of Porto,Portugal,76.5
318,Ulm University,Germany,76.4
319,Chinese Academy of Medical Sciences & Peking Union Medical College,China,76.4
320,Northeastern University,USA,76.4
321,University of York,United Kingdom,76.4
322,Friedrich Schiller University Jena,Germany,76.4
323,Durham University,United Kingdom,76.4
324,Umeå University,Sweden,76.3
325,Beijing Normal University,China,76.3
326,University of Granada,Spain,76.3
327,University of South Carolina - Columbia,USA,76.3
328,London School of Economics and Political Science,United Kingdom,76.3
329,Polytechnic University of Milan,Italy,76.3
330,Dalhousie University,Canada,76.3
331,National Cheng Kung University,Taiwan,76.2
332,University of Düsseldorf,Germany,76.2
333,Eindhoven University of Technology,Netherlands,76.2
334,Hunan University,China,76.2
335,Aalto University,Finland,76.2
336,Versailles Saint-Quentin-en-Yvelines University,France,76.2
337,Hannover Medical School,Germany,76.2
338,International Institute for Management Development,Switzerland,76.1
339,Simon Fraser University,Canada,76.1
340,Beijing Institute of Technology,China,76.1
341,University of Dundee,United Kingdom,76.1
342,University of St Andrews,United Kingdom,76.1
343,University of the Basque Country,Spain,76.1
344,University of Milano-Bicocca,Italy,76.0
345,Lancaster University,United Kingdom,76.0
346,University of Electronic Science and Technology of China,China,76.0
347,University of Campinas,Brazil,76.0
348,University of Belgrade,Serbia,76.0
349,École des ponts ParisTech,France,76.0
350,City College of New York,USA,76.0
351,University of Otago,New Zealand,75.9
352,Temple University,USA,75.9
353,Albert Einstein College of Medicine,USA,75.9
354,Aalborg University,Denmark,75.9
355,Ben-Gurion University of the Negev,Israel,75.9
356,University of Buenos Aires,Argentina,75.9
357,Queen's University Belfast,United Kingdom,75.9
358,Vrije Universiteit Brussel,Belgium,75.8
359,Drexel University,USA,75.8
360,Federal University of Rio de Janeiro,Brazil,75.8
361,University of Southern Denmark,Denmark,75.8
362,Linköping University,Sweden,75.8
363,Curtin University,Australia,75.8
364,University of Marburg,Germany,75.8
365,University of Parma,Italy,75.8
366,Lanzhou University,China,75.7
367,China Agricultural University,China,75.7
368,Pohang University of Science and Technology,South Korea,75.7
369,National Research Center «Kurchatov Institute»,Russia,75.7
370,Technical University of Berlin,Germany,75.7
371,King Saud University,Saudi Arabia,75.7
372,Islamic Azad University,Iran,75.7
373,Justus Liebig University Giessen,Germany,75.6
374,University of Ljubljana,Slovenia,75.6
375,University of Innsbruck,Austria,75.6
376,Jagiellonian University,Poland,75.6
377,Pontifical Catholic University of Chile,Chile,75.6
378,University of Oregon,USA,75.6
379,University of Technology Sydney,Australia,75.6
380,Macquarie University,Australia,75.5
381,University of Turku,Finland,75.5
382,National Tsing Hua University,Taiwan,75.5
383,Medical University of South Carolina,USA,75.5
384,East China Normal University,China,75.5
385,University of Victoria,Canada,75.5
386,Chongqing University,China,75.5
387,University of Perugia,Italy,75.5
388,Deakin University,Australia,75.4
389,University of Regensburg,Germany,75.4
390,Griffith University,Australia,75.4
391,Kyung Hee University,South Korea,75.4
392,University of Oklahoma, Norman,USA,75.4
393,East China University of Science and Technology,China,75.4
394,University of Warsaw,Poland,75.4
395,Pompeu Fabra University,Spain,75.4
396,University of Wollongong,Australia,75.3
397,University of Malaya,Malaysia,75.3
398,University of Newcastle,Australia,75.3
399,University of Texas at Dallas,USA,75.3
400,Chalmers University of Technology,Sweden,75.3
401,Queensland University of Technology,Australia,75.3
402,Kyungpook National University,South Korea,75.3
403,University at Albany, SUNY,USA,75.2
404,Swedish University of Agricultural Sciences,Sweden,75.2
405,University of Seville,Spain,75.2
406,Vienna University of Technology,Austria,75.2
407,University of Coimbra,Portugal,75.2
408,University of Bari,Italy,75.2
409,Aristotle University of Thessaloniki,Greece,75.2
410,University of Science and Technology Beijing,China,75.2
411,University of Twente,Netherlands,75.1
412,Amherst College,USA,75.1
413,Northwestern Polytechnical University,China,75.1
414,University of Saskatchewan,Canada,75.1
415,Indian Institute of Management Ahmedabad,India,75.1
416,University of Tasmania,Australia,75.1
417,University of Côte d'Azur,France,75.1
418,Tampere University,Finland,75.1
419,University of Ulsan,South Korea,75.0
420,Indiana University – Purdue University Indianapolis,USA,75.0
421,São Paulo State University,Brazil,75.0
422,Zhengzhou University,China,75.0
423,Texas Tech University,USA,75.0
424,Hiroshima University,Japan,75.0
425,Thomas Jefferson University,USA,75.0
426,Capital Medical University,China,75.0
427,York University,Canada,75.0
428,China University of Geosciences,China,74.9
429,Kansas State University,USA,74.9
430,Chonnam National University,South Korea,74.9
431,University of Stuttgart,Germany,74.9
432,Stockholm School of Economics,Sweden,74.9
433,Catholic University of the Sacred Heart,Italy,74.9
434,University of Mississippi,USA,74.9
435,Stellenbosch University,South Africa,74.9
436,University of Chile,Chile,74.8
437,University of Trieste,Italy,74.8
438,Okayama University,Japan,74.8
439,University of Clermont Auvergne,France,74.8
440,Kobe University,Japan,74.8
441,Tulane University,USA,74.8
442,Shenzhen University,China,74.8
443,Saint Louis University,USA,74.8
444,University of Bath,United Kingdom,74.7
445,University of Texas Health Science Center at San Antonio,USA,74.7
446,University of Oulu,Finland,74.7
447,Vita-Salute San Raffaele University,Italy,74.7
448,University of Navarra,Spain,74.7
449,Pusan National University,South Korea,74.7
450,University of Trento,Italy,74.7
451,Medical College of Wisconsin,USA,74.7
452,University of Eastern Finland,Finland,74.7
453,University of Zaragoza,Spain,74.6
454,Martin Luther University Halle-Wittenberg,Germany,74.6
455,National Chiao Tung University,Taiwan,74.6
456,University of Catania,Italy,74.6
457,University of Colorado Denver,USA,74.6
458,University of Vermont,USA,74.6
459,Indian Institute of Science,India,74.6
460,University of Guelph,Canada,74.6
461,University of Alabama - Tuscaloosa,USA,74.6
462,Syracuse University,USA,74.5
463,University of Central Florida,USA,74.5
464,Polytechnic University of Catalonia,Spain,74.5
465,University of Louisville,USA,74.5
466,Shanghai University,China,74.5
467,University of Santiago de Compostela,Spain,74.5
468,University of Siena,Italy,74.5
469,Florida International University,USA,74.5
470,Nanjing Agricultural University,China,74.5
471,Nanjing University of Aeronautics and Astronautics,China,74.4
472,Nanjing University of Science and Technology,China,74.4
473,George Mason University,USA,74.4
474,Federal University of Rio Grande do Sul,Brazil,74.4
475,University of Strathclyde,United Kingdom,74.4
476,Scuola Normale Superiore di Pisa,Italy,74.4
477,Technical University of Darmstadt,Germany,74.4
478,Joint Institute for Nuclear Research,Russia,74.4
479,University of Rostock,Germany,74.4
480,Beijing University of Chemical Technology,China,74.3
481,École normale supérieure de Lyon,France,74.3
482,James Cook University,Australia,74.3
483,University of KwaZulu-Natal,South Africa,74.3
484,Chulalongkorn University,Thailand,74.3
485,Oklahoma State University,USA,74.3
486,University of Oviedo,Spain,74.3
487,Ioffe Physical-Technical Institute of the Russian Academy of Sciences,Russia,74.3
488,Polytechnic University of Valencia,Spain,74.3
489,Rovira i Virgili University,Spain,74.2
490,Leibniz University Hannover,Germany,74.2
491,Huazhong Agricultural University,China,74.2
492,Xidian University,China,74.2
493,West Virginia University,USA,74.2
494,Nanjing Medical University,China,74.2
495,Baylor University,USA,74.2
496,Savoie Mont Blanc University,France,74.2
497,Technical University of Dortmund,Germany,74.2
498,Lehigh University,USA,74.1
499,University of Hawaii at Manoa,USA,74.1
500,La Trobe University,Australia,74.1
501,University of Ferrara,Italy,74.1
502,Rush University,USA,74.1
503,Federal University of Minas Gerais,Brazil,74.1
504,University of Tennessee Health Science Center,USA,74.1
505,Swarthmore College,USA,74.1
506,Novosibirsk State University,Russia,74.1
507,Boston College,USA,74.1
508,University of Modena and Reggio Emilia,Italy,74.0
509,Western Sydney University,Australia,74.0
510,University of Surrey,United Kingdom,74.0
511,University of Hull,United Kingdom,74.0
512,University of Tromsø – The Arctic University of Norway,Norway,74.0
513,Northwest A&F University,China,74.0
514,NOVA University of Lisbon,Portugal,74.0
515,Royal Holloway, University of London,United Kingdom,74.0
516,University of Canterbury,New Zealand,74.0
517,University College Cork,Ireland,74.0
518,Wuhan University of Technology,China,73.9
519,University of Potsdam,Germany,73.9
520,University of Tehran,Iran,73.9
521,University of Tartu,Estonia,73.9
522,National Yang-Ming University,Taiwan,73.9
523,University of South Australia,Australia,73.9
524,RMIT University,Australia,73.9
525,University of Zagreb,Croatia,73.9
526,Colorado School of Mines,USA,73.9
527,Bar-Ilan University,Israel,73.8
528,Ulsan National Institute of Science and Technology,South Korea,73.8
529,University of Bremen,Germany,73.8
530,Georgia State University,USA,73.8
531,USI - University of Italian Speaking Switzerland,Switzerland,73.8
532,University of Verona,Italy,73.8
533,University of Rennes 1,France,73.8
534,Carleton University,Canada,73.8
535,Polytechnic University of Madrid,Spain,73.8
536,University of Konstanz,Germany,73.8
537,Hitotsubashi University,Japan,73.7
538,Saint Petersburg University,Russia,73.7
539,Northeastern University, China,China,73.7
540,University of Arkansas - Fayetteville,USA,73.7
541,Rensselaer Polytechnic Institute,USA,73.7
542,Moscow Institute of Physics and Technology,Russia,73.7
543,Tata Institute of Fundamental Research,India,73.7
544,University of Nantes,France,73.7
545,Medical University of Innsbruck,Austria,73.7
546,Cairo University,Egypt,73.7
547,Ewha Womans University,South Korea,73.6
548,National Technical University of Athens,Greece,73.6
549,Mahidol University,Thailand,73.6
550,Chiba University,Japan,73.6
551,Fuzhou University,China,73.6
552,China Medical University, Taiwan,Taiwan,73.6
553,Jinan University,China,73.6
554,Flinders University,Australia,73.6
555,National Central University,Taiwan,73.6
556,Clemson University,USA,73.6
557,Indian Institute of Technology Madras,India,73.6
558,Mayo Clinic College of Medicine and Science,USA,73.5
559,Brunel University London,United Kingdom,73.5
560,San Diego State University,USA,73.5
561,Medical University of Graz,Austria,73.5
562,Southwest University,China,73.5
563,University of Graz,Austria,73.5
564,University of Sherbrooke,Canada,73.5
565,University of Jyväskylä,Finland,73.5
566,Institut Agro,France,73.5
567,Indian Institute of Technology Bombay,India,73.5
568,China University of Petroleum,China,73.4
569,University of Texas at Arlington,USA,73.4
570,Chang Gung University,Taiwan,73.4
571,University of Delhi,India,73.4
572,Palacký University Olomouc,Czech Republic,73.4
573,Middle East Technical University,Turkey,73.4
574,Illinois Institute of Technology,USA,73.4
575,University of Iceland,Iceland,73.4
576,Nanjing Tech University,China,73.4
577,University of Minho,Portugal,73.4
578,Institute of Cancer Research, University of London,United Kingdom,73.4
579,University of Udine,Italy,73.3
580,University of Pretoria,South Africa,73.3
581,Auburn University,USA,73.3
582,Swansea University,United Kingdom,73.3
583,University of Wisconsin–Milwaukee,USA,73.3
584,University of Burgundy,France,73.3
585,University of Palermo,Italy,73.3
586,Concordia University,Canada,73.3
587,Masaryk University,Czech Republic,73.3
588,Bocconi University,Italy,73.3
589,College of William & Mary,USA,73.2
590,University of Nebraska Medical Center,USA,73.2
591,Eötvös Loránd University,Hungary,73.2
